hardware_family,hardware_size,family,size,method,n,inst,sqa_gap_median,sqa_gap_mean,optimum_probability_median,optimum_probability_mean,sqa_energy_gap_median,sqa_energy_gap_mean,sqa_optimum_rate_median,sqa_optimum_rate_mean,sqa_fea_median,sqa_fea_mean,mean_chain_break_fraction_median,mean_chain_break_fraction_mean,broken_read_rate_median,broken_read_rate_mean,sqa_gap_zero_rate
pegasus,16,mdkp,10,projected_full,10,1,0.0,0.0,0.0024,0.0024,0.3277940468123484,0.3277940468123484,0.0024,0.0024,0.6296,0.6296,0.09804,0.09804,0.6724,0.6724,1.0
pegasus,16,mdkp,10,projected_topology,10,1,0.0,0.0,0.0068,0.0068,0.21682624796894767,0.21682624796894767,0.0068,0.0068,0.4692,0.4692,0.0,0.0,0.0,0.0,1.0
pegasus,16,mdkp,10,unbalanced,10,1,0.0,0.0,0.0008,0.0008,0.22880668247179758,0.22880668247179758,0.0008,0.0008,0.508,0.508,0.2434,0.2434,0.9392,0.9392,1.0
pegasus,16,mdkp,15,projected_full,15,1,0.0024906600249066002,0.0024906600249066002,0.0,0.0,0.2947839407531491,0.2947839407531491,0.0,0.0,0.678,0.678,0.28090666666666664,0.28090666666666664,0.9952,0.9952,0.0
pegasus,16,mdkp,15,projected_topology,15,1,0.0,0.0,0.0004,0.0004,0.2065742296872929,0.2065742296872929,0.0004,0.0004,0.6088,0.6088,0.0,0.0,0.0,0.0,1.0
pegasus,16,mdkp,15,unbalanced,15,1,0.0024906600249066002,0.0024906600249066002,0.0,0.0,0.14036154402884177,0.14036154402884177,0.0,0.0,0.6628,0.6628,0.3996,0.3996,0.9996,0.9996,0.0
pegasus,16,mdkp,20,projected_full,20,2,0.0236022880400407,0.0236022880400407,0.0,0.0,0.28068896786736386,0.28068896786736386,0.0,0.0,0.19820000000000002,0.19820000000000002,0.34826999999999997,0.34826999999999997,0.9998,0.9998,0.0
pegasus,16,mdkp,20,projected_topology,20,2,0.05410375931578803,0.05410375931578803,0.0,0.0,0.1643248208722326,0.1643248208722326,0.0,0.0,0.0796,0.0796,0.0,0.0,0.0,0.0,0.0
pegasus,16,mdkp,20,unbalanced,20,2,0.025236274968145275,0.025236274968145275,0.0,0.0,0.20345261332317474,0.20345261332317474,0.0,0.0,0.2084,0.2084,0.49915,0.49915,1.0,1.0,0.0
pegasus,16,mdkp,27,projected_full,27,1,0.06763754045307444,0.06763754045307444,0.0,0.0,0.22652402836534072,0.22652402836534072,0.0,0.0,0.1276,0.1276,0.7070518518518519,0.7070518518518519,1.0,1.0,0.0
pegasus,16,mdkp,27,projected_topology,27,1,0.05631067961165048,0.05631067961165048,0.0,0.0,0.19181890941991162,0.19181890941991162,0.0,0.0,0.0372,0.0372,0.0,0.0,0.0,0.0,0.0
pegasus,16,mdkp,27,unbalanced,27,1,0.07508090614886731,0.07508090614886731,0.0,0.0,0.19766271125494428,0.19766271125494428,0.0,0.0,0.0144,0.0144,0.8174074074074074,0.8174074074074074,1.0,1.0,0.0
pegasus,16,mdkp,28,projected_full,28,2,0.05721276354782083,0.05721276354782083,0.0,0.0,0.2886663074291844,0.2886663074291844,0.0,0.0,0.4184,0.4184,0.6775142857142857,0.6775142857142857,1.0,1.0,0.0
pegasus,16,mdkp,28,projected_topology,28,2,0.037400196304196005,0.037400196304196005,0.0,0.0,0.21019287119983565,0.21019287119983565,0.0,0.0,0.3112,0.3112,0.0,0.0,0.0,0.0,0.0
pegasus,16,mdkp,28,unbalanced,28,2,0.03908057909737821,0.03908057909737821,0.0,0.0,0.2416784235387209,0.2416784235387209,0.0,0.0,0.3226,0.3226,0.8023428571428572,0.8023428571428572,1.0,1.0,0.0
pegasus,16,mdkp,29,projected_full,29,1,nan,nan,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.7878896551724137,0.7878896551724137,1.0,1.0,nan
pegasus,16,mdkp,29,projected_topology,29,1,nan,nan,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
pegasus,16,mdkp,29,unbalanced,29,1,nan,nan,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.7539724137931034,0.7539724137931034,1.0,1.0,nan
pegasus,16,mdkp,34,projected_full,34,1,0.10703075957313246,0.10703075957313246,0.0,0.0,0.24889916937325435,0.24889916937325435,0.0,0.0,0.0552,0.0552,0.7840470588235293,0.7840470588235293,1.0,1.0,0.0
pegasus,16,mdkp,34,projected_topology,34,1,0.15285624607658507,0.15285624607658507,0.0,0.0,0.15285624607658507,0.15285624607658507,0.0,0.0,0.0004,0.0004,0.0,0.0,0.0,0.0,0.0
pegasus,16,mdkp,34,unbalanced,34,1,nan,nan,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.8669176470588235,0.8669176470588235,1.0,1.0,nan
pegasus,16,mdkp,35,projected_full,35,1,0.08725674827369742,0.08725674827369742,0.0,0.0,0.29361093673711375,0.29361093673711375,0.0,0.0,0.0252,0.0252,0.8476799999999999,0.8476799999999999,1.0,1.0,0.0
pegasus,16,mdkp,35,projected_topology,35,1,nan,nan,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
pegasus,16,mdkp,35,unbalanced,35,1,0.18330194601381042,0.18330194601381042,0.0,0.0,0.3046453232893911,0.3046453232893911,0.0,0.0,0.002,0.002,0.8901028571428573,0.8901028571428573,1.0,1.0,0.0
pegasus,16,mdkp,39,projected_full,39,1,0.05283480881521944,0.05283480881521944,0.0,0.0,0.2724504471711768,0.2724504471711768,0.0,0.0,0.4028,0.4028,0.8678564102564101,0.8678564102564101,1.0,1.0,0.0
pegasus,16,mdkp,39,projected_topology,39,1,0.05970992653983801,0.05970992653983801,0.0,0.0,0.2085530022840082,0.2085530022840082,0.0,0.0,0.1876,0.1876,0.0,0.0,0.0,0.0,0.0
pegasus,16,mdkp,39,unbalanced,39,1,0.04991523827462799,0.04991523827462799,0.0,0.0,0.24719893242256638,0.24719893242256638,0.0,0.0,0.1936,0.1936,0.9241230769230769,0.9241230769230769,1.0,1.0,0.0
pegasus,16,mdkp,50,projected_full,50,1,0.06567091975569934,0.06567091975569934,0.0,0.0,0.31006025989339925,0.31006025989339925,0.0,0.0,0.3584,0.3584,0.9335119999999999,0.9335119999999999,1.0,1.0,0.0
pegasus,16,mdkp,50,projected_topology,50,1,0.05490717784362339,0.05490717784362339,0.0,0.0,0.20062076396991543,0.20062076396991543,0.0,0.0,0.122,0.122,0.0,0.0,0.0,0.0,0.0
pegasus,16,mdkp,50,unbalanced,50,1,0.06948055874705207,0.06948055874705207,0.0,0.0,0.27228539793983153,0.27228539793983153,0.0,0.0,0.1368,0.1368,0.9491440000000001,0.9491440000000001,1.0,1.0,0.0
pegasus,16,mis,8,projected_full,8,1,0.0,0.0,0.0216,0.0216,0.0,0.0,0.0216,0.0216,0.0216,0.0216,0.01685,0.01685,0.1272,0.1272,1.0
pegasus,16,mis,8,projected_topology,8,1,0.0,0.0,0.0232,0.0232,0.0,0.0,0.0232,0.0232,0.0232,0.0232,0.0,0.0,0.0,0.0,1.0
pegasus,16,mis,8,unbalanced,8,1,0.0,0.0,0.0148,0.0148,0.0,0.0,0.0148,0.0148,0.0148,0.0148,0.0,0.0,0.0,0.0,1.0
pegasus,16,mis,16,projected_full,16,1,0.0,0.0,0.2968,0.2968,0.04386574074074074,0.04386574074074074,0.2968,0.2968,0.432,0.432,0.00715,0.00715,0.1084,0.1084,1.0
pegasus,16,mis,16,projected_topology,16,1,0.0,0.0,0.0232,0.0232,0.1799212598425197,0.1799212598425197,0.0232,0.0232,0.254,0.254,0.0,0.0,0.0,0.0,1.0
pegasus,16,mis,16,unbalanced,16,1,0.0,0.0,0.4728,0.4728,0.05610236220472441,0.05610236220472441,0.4728,0.4728,0.762,0.762,0.001075,0.001075,0.0172,0.0172,1.0
pegasus,16,mis,32,projected_full,32,1,0.0,0.0,0.024,0.024,0.16548295454545456,0.16548295454545456,0.024,0.024,0.2816,0.2816,0.0233625,0.0233625,0.5264,0.5264,1.0
pegasus,16,mis,32,projected_topology,32,1,0.08333333333333333,0.08333333333333333,0.0,0.0,0.21977401129943502,0.21977401129943502,0.0,0.0,0.708,0.708,0.0,0.0,0.0,0.0,0.0
pegasus,16,mis,32,unbalanced,32,1,0.0,0.0,0.0008,0.0008,0.2681190374483839,0.2681190374483839,0.0008,0.0008,0.9364,0.9364,0.000325,0.000325,0.0104,0.0104,1.0
pegasus,16,mis,64,projected_full,64,2,0.05277777777777778,0.05277777777777778,0.0,0.0,0.29272452663375814,0.29272452663375814,0.0,0.0,0.09459999999999999,0.09459999999999999,0.043440625,0.043440625,0.9518,0.9518,0.0
pegasus,16,mis,64,projected_topology,64,2,0.2138888888888889,0.2138888888888889,0.0,0.0,0.517788935976236,0.517788935976236,0.0,0.0,0.1738,0.1738,0.0,0.0,0.0,0.0,0.0
pegasus,16,mis,64,unbalanced,64,2,0.26666666666666666,0.26666666666666666,0.0,0.0,0.5879848790842094,0.5879848790842094,0.0,0.0,0.4776,0.4776,0.02799375,0.02799375,0.8348,0.8348,0.0
